line_id,mean_margin,skewness,has_numeric,num_median_norm,numeric_count_norm,num_above,num_margin,digit_char_frec,has_digit,area_norm,norm_wid,width_rel,bbox_width_inv,bbox_w_dif,ratio_area_norm,area_inv,area_dif,aspcrat_inv_norm,perimeter_norm,perimeter_inv,perimeter_dif,diag_inv,diag_dif,diag_norm,angle_inv,compact,prev_xmin_align,prev_xmax_align,next_xmin_align,next_xmax_align,align_prev,align_next,center_aling
line_0011,0.676923077,0.284159292,1,2.5,0.833333333,1,0.825396825,0.833333333,1,0.707582833,0.96191052,0.773832685,1.021181001,0.978818999,0.707582833,1.056060298,0.943939702,0.836148226,0.964475816,1.02848329,0.97151671,1.021515035,0.978484965,0.962034579,0.953654835,0.919279169,0.955359374,0.99796886,0.996419002,0.998209493,0.977221603,0.999123672,0.989506332
line_0012,1,-0.047564475,1,2.5,0.833333333,1,0.825396825,0.666666667,1,0.670021242,0.956469166,0.769455253,1.015404365,0.984595635,0.670021242,1,1,0.843075833,0.957171372,1.020694087,0.979305913,1.0156408,0.9843592,0.956502387,0.913391973,0.956165023,0.996176284,0.998088132,0.998310179,1,0.999066667,0.999172439,0.990521753
line_0013,0.543589744,0.666235111,1,3,1,1,1,0.944444444,1,0.690486315,0.95828295,0.770914397,1.01732991,0.98267009,0.690486315,1.030543917,0.969456083,0.838894354,0.9601044,1.023821765,0.976178235,1.017624178,0.982375822,0.958370278,0.937695405,0.933520515,0.998209493,1,0.99840553,1,0.999123672,0.999217068,0.989506332
line_0014,0.856410256,0.149366885,1,3,1,1,1,0.777777778,1,0.63887621,0.960096735,0.772373541,1.019255456,0.980744544,0.63887621,0.953516351,0.953516351,0.851498808,0.958545476,1.022159383,0.977840617,1.019381557,0.980618443,0.960025328,0.86442814,1.005659011,0.998310179,1,0.995448024,0.998482661,0.999172439,0.998512433,0.988490945
line_0015,1,-0.150406144,1,2,0.666666667,1,0.492063492,0.611111111,1,0.74101197,0.967351874,0.778210117,1.026957638,0.973042362,0.74101197,1.10595295,0.89404705,0.830332181,0.971501306,1.035975028,0.964024972,1.027378048,0.972621952,0.967556202,0.987451392,0.890642831,0.995216637,0.99840553,1,0.998557397,0.998434138,0.999291522,0.98646028
line_0016,1,-0.105322719,1,2,0.666666667,1,0.492063492,0.611111111,1,0.703575985,0.965538089,0.776750973,1.025032092,0.974967908,0.703575985,1.050080117,0.949919883,0.838297999,0.96753397,1.0317444,0.9682556,1.025336958,0.974663042,0.96563396,0.941161289,0.930386627,1,0.998482661,1,1,0.999256216,1,0.985445009
line_0017,0.832007073,0.227297035,1,2.5,0.833333333,1,0.825396825,0.777777778,1,0.747632925,0.965538089,0.776750973,1.025032092,0.974967908,0.747632925,1.11583466,0.88416534,0.828172447,0.970261514,1.034652956,0.965347044,1.025483776,0.974516224,0.965772229,1,0.880503757,1,1,0.996063668,0.99868788,1,0.997417975,0.985445009
line_0018,0.978243978,-0.025858362,1,2,0.666666667,1,0.492063492,0.777777778,1,0.695944957,0.96191052,0.773832685,1.021181001,0.978818999,0.695944957,1.038690886,0.961309114,0.838843157,0.963752604,1.027712082,0.972287918,1.021477098,0.978522902,0.961998851,0.937992953,0.933250559,0.995873015,0.998624328,0.998743836,0.997487679,0.99729822,0.999381897,0.989506332
line_0019,0.487179487,0.600944314,1,3,1,1,1,0.944444444,1,0.713866424,0.956469166,0.769455253,1.015404365,0.984595635,0.713866424,1.065438495,0.934561505,0.832806952,0.959911543,1.02361611,0.97638389,1.015784144,0.984215856,0.956637385,0.973071387,0.902583718,0.99868788,0.997375768,0.654329541,0.964308469,0.999354492,0.838709533,0.988490945
line_0012,0.3453125,0.652381595,1,6,1,1,1,0.95,1,0.722545364,0.99030303,0.794747082,1.361099542,0.638900458,0.722545364,1.480877288,0.519122712,0.956153951,0.991593822,1.352894096,0.647105904,1.360673603,0.639326397,0.990363971,0.777477277,0.95201622,0.987537048,0.998032016,0.993025858,0.996512866,0.992954312,0.994887302,0.956709545
line_0013,0.14,1.015952802,1,4,0.666666667,1,0.722222222,0.8,1,0.766607795,0.993939394,0.79766537,1.366097459,0.633902541,0.766607795,1.571184494,0.428815506,0.953819887,0.99756324,1.36103855,0.63896145,1.365827318,0.634172682,0.994115093,0.818801926,0.908133059,0.992577524,0.996288685,0.998355829,0.998355829,0.994559457,1,0.950635746
line_0014,0.014285714,1.09247459,1,6,1,1,1,0.85,1,0.685591075,0.997575758,0.800583658,1.371095377,0.628904623,0.685591075,1.405138421,0.594861579,0.959000841,0.99602576,1.358940869,0.641059131,1.370484735,0.629515265,0.997504987,0.7270605,1.012320026,0.998256425,0.998256425,0.976092984,0.998440403,1,0.987509624,0.950635746
line_0015,0.904,0.243453524,1,4,0.666666667,1,0.722222222,0.55,1,0.713181444,0.971515152,0.779669261,1.335276968,0.664723032,0.713181444,1.461685667,0.538314333,0.955032117,0.973875278,1.328719567,0.671280433,1.334932044,0.665067956,0.97162802,0.79734056,0.930354559,0.974797348,0.998355829,0.994076737,1,0.9868291,0.997089157,0.967180856
