Especificaciones:,,,
Cliente:,Persona fisica o moral que es dueña de los documentos financieros,,
Proveedor:,Entidad que emite los documentos financieros a los clientes no es propio de esta empresa,,
,,,
Nombre Columna,Tipo de Dato (SQL),Restricciones / Notas,Explicación del Contenido
Tabla: registros_compra,,,
Propósito,Almacena la información general por cada documento de compra procesado por cliente.,
id_registro,VARCHAR(60-80),Llave Primaria (PK),No Nulo. Identificador único del registro generado por script. Formato: [IDProv]-[IDCliente]-[Numero de imagen procesada en ese lote]-[fecha_captura]. DetallesCompra y TransaccionesCompra.
id_cliente,VARCHAR(10),No Nulo.,ID (00001-99999) asignado manualmente a su cliente de consultoría. Proporcionado al script.
folio_doc,VARCHAR(50),Puede ser Nulo.,Folio/Número extraído del documento físico. Usado para generar IDRegistro. Usar placeholder (ej. SINFOLIO) si falta.
date_doc,TEXT,Puede ser Nulo.,Fecha principal extraída del documento (formato AAAAMMDD). Usada para generar IDRegistro.
id_proveedor,VARCHAR(4),Llave Foránea (FK) a Proveedores.,Puede ser Nulo temporalmente. ID (AAAA-ZZZZ) del proveedor obtenido de Proveedores. Si es nuevo el script genera el siguiente ID y marca para revisión. Usado para generar IDRegistro.
total_doc,"decimal(12, 2)",Puede ser Nulo.,Cantiadad total monetaria pagada impresa en el documento
total_calc,"decimal(12, 2)",No Nulo,Suma aritmética de los costos_tran. Debería ser igual al total_doc en teoría
total_art,"decimal(12, 2)",Puede ser Nulo.,Cantidad impresa de artículos comprados del documento. Siempre positivo.
art_calc,"decimal(12, 2)",No Nulo,Suma aritmética de la cantidad de productos 
subtotal,"decimal(12, 2)",Puede ser Nulo.,Monto de IVA total del documento original. Opcional.
tasa_iva,"decimal(4, 2)",Puede ser Nulo.,Tasa de IVA general aplicable al documento original (ej. 0.16). Opcional.
auditate,Booleano / BIT,No Nulo.,Indicador (VERDADERO/FALSO ó 1/0) si el registro requiere validación humana (nuevo proveedor posible coincidencia producto etc.).
fecha_captura,TIMESTAMP,No Nulo.,Marca de tiempo de cuándo se digitalizo este registro en Python. AAAAMMDDHHMMSSFFF. Usada para generar IDRegistro
reason,TEXT,Puede ser Nulo.,Campo libre para comentarios automáticos o manuales sobre el registro (detección de anomalías; errores etc.).
uuid,VARCHAR(36),Puede ser Nulo.,Folio Fiscal (UUID) de 36 caracteres si es una factura CFDI formal.
,,,
Hoja/tabla: detalles_compra,,,
Propósito,Conglomera todos los datos generados en una tabla global de transacciones,
idd_detalle,INTEGER,Llave Primaria (PK) No Nulo.,ID único secuencial para esta línea de detalle específica.
id_registro,VARCHAR(60-80),Llave Foránea (FK) a RegistrosCompra. No Nulo.,El id_registro del documento al que pertenece esta línea.
id_producto,INTEGER,Llave Foránea (FK) a Productos. No Nulo,ID numérico secuencial del producto normalizado obtenido de Productos. Se ajusta automaticamente con el id_producto de productos
cantidad_art,"Decimal(10, 3)",No Nulo.,Cantidad total de articulos en esa micro transacción
producto_norm,TEXT,No Nulo.,Nombre limpio completo único y descriptivo del producto extraído de Productos.
precio_unitario,"decimal(12, 4)",No Nulo.,Precio original por unidad del producto (siempre positivo). Varia según el proveedor
